authorization_id,case_id,condition_id,cue_level,cue_pair_id,errors,exact,field,final_typed_memory,memory_id,overgrant,undergrant,writer_seed,writer_target
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,issuer,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,grantee,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,effect,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,action,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,status,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,valid_from,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,"[""narrowing""]",false,valid_until,true,mem_1dc5d9d00b77d2cc44deef87,false,true,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,supersedes,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,"[""contradiction""]",false,source_turn_ids,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,scope.vendor,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,scope.allowed_categories,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,scope.max_amount,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_initial,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,scope.currency,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,issuer,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,grantee,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,effect,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,action,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,status,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,valid_from,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,"[""broadening""]",false,valid_until,true,mem_1dc5d9d00b77d2cc44deef87,true,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,supersedes,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,"[""contradiction""]",false,source_turn_ids,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,scope.vendor,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,"[""broadening""]",false,scope.allowed_categories,true,mem_1dc5d9d00b77d2cc44deef87,true,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,"[""broadening""]",false,scope.max_amount,true,mem_1dc5d9d00b77d2cc44deef87,true,false,20260817,nemotron_3_ultra_baseten
auth_replacement,procurement_v1_calibration_revoke_replace,incremental_typed,l0,cue_memory_pair_003cdb455f0f053bcee62213,[],true,scope.currency,true,mem_1dc5d9d00b77d2cc44deef87,false,false,20260817,nemotron_3_ultra_baseten
