k,case_id,condition_id,write_mode,memory_format,selected_candidate_index,memory_id,fidelity_exact,field_error_count,semantic_exact,semantic_field_error_count,overgrant_field_count,undergrant_field_count,authorization_error,authorization_mismatch_count,apparent_authority,apparent_authority_probe_count,lost_authority,lost_authority_probe_count
1,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_09eb494ced45cde4fb80a9bc,False,5,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_e91d86bbc65871681f232d43,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_3acb9cebe305c245ce81df04,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_566a50616c1c0bdebdfd24eb,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_6e375b097ca13c2ed254b8dc,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_78e5c9303bde563245b7cb9d,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_53a3c70513dc6c895905b978,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_fb98a0bc64493f67c592127b,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_285838521ea821fcf6c5c4bb,False,3,False,2,2,0,True,1,True,1,False,0
1,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_c2f398cc372cea52ab65ec95,False,2,False,1,1,0,True,1,True,1,False,0
1,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_018d932150e3ac74cbfe30c2,False,5,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_2e257080b3e0c9d78978c3ad,False,1,False,1,0,0,False,0,False,0,False,0
