k,case_id,condition_id,write_mode,memory_format,selected_candidate_index,memory_id,fidelity_exact,field_error_count,semantic_exact,semantic_field_error_count,overgrant_field_count,undergrant_field_count,authorization_error,authorization_mismatch_count,apparent_authority,apparent_authority_probe_count,lost_authority,lost_authority_probe_count
1,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_778df73ada9afebdcc8b765a,False,4,False,2,1,1,False,0,False,0,False,0
1,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_9a2ee2c52a6e88f76f35527f,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_a18ec2ffdce4629fb8672000,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_d219593db5d4a2f223c9502e,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_db868bfe72b1af6097b419f6,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_a5d5640d7affb06daa4e9a96,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_eba77ebb9a3c4fe9c6065552,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_bb01fe0aa9251afab6f45f58,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_b4d79219643c0f846bd204bd,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_350262b82dd68791cce91dbd,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_0cc50a0a4cb7c897942f2823,False,2,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_b1dc077142318ec04fe46fc8,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_20e6a8dc312f05c09de8acfa,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,0,mem_47847ddcc0a6c03a235b1698,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_afdf8eb957436ff9d4d64644,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_b91e58df820d356206bca46b,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,0,mem_41183204545c97847fc04b5b,False,2,False,1,0,1,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_80646ad6e363aa1bcc240328,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,incremental_typed,incremental,typed,0,mem_20bdb525ccae6a9e92e0a7f0,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_51ee44c395ca93ec1b7000b2,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_be58d9bbd2a9e286a55f8e50,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_96d64330261f82a7a05e0eb1,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_68025f317a88931c3ee85aa7,False,2,False,1,0,1,False,0,False,0,False,0
1,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_674600821d59e28ba21f1cc0,False,4,False,3,2,1,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,1,mem_32c4f86a7bac8a1ae52eccf4,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_9a2ee2c52a6e88f76f35527f,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,1,mem_2b1bcb3cffbbfd54c71a8ae9,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_d219593db5d4a2f223c9502e,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,1,mem_d847b045a7be14bb5e67fbed,False,2,False,1,1,0,True,1,True,1,False,0
2,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,1,mem_608a626e855b8f55edc3e8a2,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,1,mem_3cff92687c727e40fa8dbb2a,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,1,mem_2a04d64ed81354c556d00aaf,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_b4d79219643c0f846bd204bd,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_350262b82dd68791cce91dbd,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_0cc50a0a4cb7c897942f2823,False,2,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_b1dc077142318ec04fe46fc8,False,2,False,1,0,0,False,0,False,0,False,0
2,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_20e6a8dc312f05c09de8acfa,False,1,True,0,0,0,False,0,False,0,False,0
